atom_name,size,R,G,B
H,0.22,1,1,1
D,0.26,0.8,0.8,1
He,0.29,0.851,1,1
Li,0.3,0.8,0.502,1
Be,0.92,0.761,1,0
B,0.35,1,0.71,0.71
C,0.4,0.565,0.565,0.565
N,0.38,0.188,0.314,0.973
O,0.39,1,0.051,0.051
F,0.5,0.565,0.878,0.314
Ne,1.4,0.702,0.89,0.961
Na,0.6,0.671,0.361,0.949
Mg,0.7,0.541,1,0
Al,0.7,0.749,0.651,0.651
Si,0.78,0.941,0.784,0.627
P,0.6,1,0.502,0
S,0.41,1,1,0.188
Cl,0.48,0.122,0.941,0.122
Ar,1.72,0.502,0.82,0.89
K,2.15,0.561,0.251,0.831
Ca,1.77,0.239,1,0
Sc,1.44,0.902,0.902,0.902
Ti,1.27,0.749,0.761,0.78
V,1.15,0.651,0.651,0.671
Cr,1.09,0.541,0.6,0.78
Mn,1.17,0.612,0.478,0.78
Fe,0.66,0.878,0.4,0.2
Co,1.05,0.941,0.565,0.627
Ni,1.05,0.314,0.816,0.314
Cu,0.67,0.784,0.502,0.2
Zn,1.17,0.49,0.502,0.69
Ga,1.33,0.761,0.561,0.561
Ge,1.02,0.4,0.561,0.561
As,1.01,0.741,0.502,0.89
Se,0.84,1,0.631,0
Br,0.74,0.651,0.161,0.161
Kr,1.78,0.361,0.722,0.82
Rb,2.3,0.439,0.18,0.69
Sr,1.95,0,1,0
Y,1.62,0.58,1,1
Zr,1.4,0.58,0.878,0.878
Nb,1.27,0.451,0.761,0.788
Mo,1.2,0.329,0.71,0.71
Tc,1.15,0.231,0.62,0.62
Ru,0.69,0.141,0.561,0.561
Rh,1.14,0.039,0.49,0.549
Pd,0.8,0,0.412,0.522
Ag,1.24,0.753,0.753,0.753
Cd,1.32,1,0.851,0.561
In,1.47,0.651,0.459,0.451
Sn,1.38,0.4,0.502,0.502
Sb,1.21,0.62,0.388,0.71
Te,1.17,0.831,0.478,0
I,0.66,0.58,0,0.58
Xe,1.98,0.259,0.62,0.69
Cs,2.52,0.341,0.09,0.561
Ba,2.04,0,0.788,0
La,1.68,0.439,0.831,1
Ce,1.62,1,1,0.78
Pr,1.62,0.851,1,0.78
Nd,1.62,0.78,1,0.78
Pm,1.61,0.639,1,0.78
Sm,1.61,0.561,1,0.78
Eu,1.86,0.38,1,0.78
Gd,1.59,0.271,1,0.78
Tb,1.57,0.188,1,0.78
Dy,1.57,0.122,1,0.78
Ho,1.56,0,1,0.612
Er,1.55,0,0.902,0.459
Tm,0.8,0,0.831,0.322
Yb,1.74,0,0.749,0.22
Lu,1.52,0,0.671,0.141
Hf,1.39,0.302,0.761,1
Ta,1.27,0.302,0.651,1
W,1.21,0.129,0.58,0.839
Re,1.17,0.149,0.49,0.671
Os,1.15,0.149,0.4,0.588
Ir,1.16,0.09,0.329,0.529
Pt,0.7,0.816,0.816,0.878
Au,1.24,1,0.82,0.137
Hg,1.35,0.722,0.722,0.816
Tl,1.51,0.651,0.329,0.302
Pb,1.55,0.341,0.349,0.38
Bi,1.62,0.62,0.31,0.71
Po,1.57,0.671,0.361,0
At,0.42,0.459,0.31,0.271
Rn,0.6,0.259,0.51,0.588
Fr,0.8,0.259,0,0.4
Ra,2.15,0,0.49,0
Ac,1.83,0.439,0.671,0.98
Th,1.6,0,0.729,1
Pa,1.43,0,0.631,1
U,1.36,0,0.561,1
Np,1.36,0,0.502,1
Pu,1.44,0,0.42,1
Am,1.53,0.329,0.361,0.949
XX,0.6,0.471,0.361,0.89
